DoppelName,DeviceID,AccessToken
TempSensor100k-c115,115,Access115
TempSensor100k-c116,116,Access116
TempSensor100k-c117,117,Access117
TempSensor100k-c118,118,Access118
TempSensor100k-c119,119,Access119
TempSensor100k-c120,120,Access120
TempSensor100k-c121,121,Access121
TempSensor100k-c122,122,Access122
TempSensor100k-c123,123,Access123
TempSensor100k-c124,124,Access124
TempSensor100k-c125,125,Access125
TempSensor100k-c126,126,Access126
TempSensor100k-c127,127,Access127
TempSensor100k-c128,128,Access128
TempSensor100k-c129,129,Access129
TempSensor100k-c130,130,Access130
TempSensor100k-c131,131,Access131
TempSensor100k-c132,132,Access132
TempSensor100k-c133,133,Access133
TempSensor100k-c134,134,Access134
TempSensor100k-c135,135,Access135
TempSensor100k-c136,136,Access136
TempSensor100k-c137,137,Access137
TempSensor100k-c138,138,Access138
TempSensor100k-c139,139,Access139
TempSensor100k-c140,140,Access140
TempSensor100k-c141,141,Access141
TempSensor100k-c142,142,Access142
TempSensor100k-c143,143,Access143
TempSensor100k-c144,144,Access144
TempSensor100k-c145,145,Access145
TempSensor100k-c146,146,Access146
TempSensor100k-c147,147,Access147
TempSensor100k-c148,148,Access148
TempSensor100k-c149,149,Access149
TempSensor100k-c150,150,Access150
TempSensor100k-c151,151,Access151
TempSensor100k-c152,152,Access152
TempSensor100k-c153,153,Access153
TempSensor100k-c154,154,Access154
TempSensor100k-c155,155,Access155
TempSensor100k-c156,156,Access156
TempSensor100k-c157,157,Access157
TempSensor100k-c158,158,Access158
TempSensor100k-c159,159,Access159
TempSensor100k-c160,160,Access160
TempSensor100k-c161,161,Access161
TempSensor100k-c162,162,Access162
TempSensor100k-c163,163,Access163
TempSensor100k-c164,164,Access164
TempSensor100k-c165,165,Access165
TempSensor100k-c166,166,Access166
TempSensor100k-c167,167,Access167
TempSensor100k-c168,168,Access168
TempSensor100k-c169,169,Access169
TempSensor100k-c170,170,Access170
TempSensor100k-c171,171,Access171
TempSensor100k-c172,172,Access172
TempSensor100k-c173,173,Access173
TempSensor100k-c174,174,Access174
TempSensor100k-c175,175,Access175
TempSensor100k-c176,176,Access176
TempSensor100k-c177,177,Access177
TempSensor100k-c178,178,Access178
TempSensor100k-c179,179,Access179
TempSensor100k-c180,180,Access180
TempSensor100k-c181,181,Access181
TempSensor100k-c182,182,Access182
TempSensor100k-c183,183,Access183
TempSensor100k-c184,184,Access184
TempSensor100k-c185,185,Access185
TempSensor100k-c186,186,Access186
TempSensor100k-c187,187,Access187
TempSensor100k-c188,188,Access188
TempSensor100k-c189,189,Access189
TempSensor100k-c190,190,Access190
TempSensor100k-c191,191,Access191
TempSensor100k-c192,192,Access192
TempSensor100k-c193,193,Access193
TempSensor100k-c194,194,Access194
TempSensor100k-c195,195,Access195
TempSensor100k-c196,196,Access196
TempSensor100k-c197,197,Access197
TempSensor100k-c198,198,Access198
TempSensor100k-c199,199,Access199
TempSensor100k-c200,200,Access200
TempSensor100k-c201,201,Access201
TempSensor100k-c202,202,Access202
TempSensor100k-c203,203,Access203
TempSensor100k-c204,204,Access204
TempSensor100k-c205,205,Access205
TempSensor100k-c206,206,Access206
TempSensor100k-c207,207,Access207
TempSensor100k-c208,208,Access208
TempSensor100k-c209,209,Access209
TempSensor100k-c210,210,Access210
TempSensor100k-c211,211,Access211
TempSensor100k-c212,212,Access212
TempSensor100k-c213,213,Access213
TempSensor100k-c214,214,Access214
TempSensor100k-c215,215,Access215
TempSensor100k-c216,216,Access216
TempSensor100k-c217,217,Access217
TempSensor100k-c218,218,Access218
TempSensor100k-c219,219,Access219
TempSensor100k-c220,220,Access220
TempSensor100k-c221,221,Access221
TempSensor100k-c222,222,Access222
TempSensor100k-c223,223,Access223
TempSensor100k-c224,224,Access224
TempSensor100k-c225,225,Access225
TempSensor100k-c226,226,Access226
TempSensor100k-c227,227,Access227
TempSensor100k-c228,228,Access228
TempSensor100k-c229,229,Access229
TempSensor100k-c230,230,Access230
TempSensor100k-c231,231,Access231
TempSensor100k-c232,232,Access232
TempSensor100k-c233,233,Access233
TempSensor100k-c234,234,Access234
TempSensor100k-c235,235,Access235
TempSensor100k-c236,236,Access236
TempSensor100k-c237,237,Access237
TempSensor100k-c238,238,Access238
TempSensor100k-c239,239,Access239
TempSensor100k-c240,240,Access240
TempSensor100k-c241,241,Access241
TempSensor100k-c242,242,Access242
TempSensor100k-c243,243,Access243
TempSensor100k-c244,244,Access244
TempSensor100k-c245,245,Access245
TempSensor100k-c246,246,Access246
TempSensor100k-c247,247,Access247
TempSensor100k-c248,248,Access248
TempSensor100k-c249,249,Access249
TempSensor100k-c250,250,Access250
TempSensor100k-c251,251,Access251
TempSensor100k-c252,252,Access252
TempSensor100k-c253,253,Access253
TempSensor100k-c254,254,Access254
TempSensor100k-c255,255,Access255
TempSensor100k-c256,256,Access256
TempSensor100k-c257,257,Access257
TempSensor100k-c258,258,Access258
TempSensor100k-c259,259,Access259
TempSensor100k-c260,260,Access260
TempSensor100k-c261,261,Access261
TempSensor100k-c262,262,Access262
TempSensor100k-c263,263,Access263
TempSensor100k-c264,264,Access264
TempSensor100k-c265,265,Access265
TempSensor100k-c266,266,Access266
TempSensor100k-c267,267,Access267
TempSensor100k-c268,268,Access268
TempSensor100k-c269,269,Access269
TempSensor100k-c270,270,Access270
TempSensor100k-c271,271,Access271
TempSensor100k-c272,272,Access272
TempSensor100k-c273,273,Access273
TempSensor100k-c274,274,Access274
TempSensor100k-c275,275,Access275
TempSensor100k-c276,276,Access276
TempSensor100k-c277,277,Access277
TempSensor100k-c278,278,Access278
TempSensor100k-c279,279,Access279
TempSensor100k-c280,280,Access280
TempSensor100k-c281,281,Access281
TempSensor100k-c282,282,Access282
TempSensor100k-c283,283,Access283
TempSensor100k-c284,284,Access284
TempSensor100k-c285,285,Access285
TempSensor100k-c286,286,Access286
TempSensor100k-c287,287,Access287
TempSensor100k-c288,288,Access288
TempSensor100k-c289,289,Access289
TempSensor100k-c290,290,Access290
TempSensor100k-c291,291,Access291
TempSensor100k-c292,292,Access292
TempSensor100k-c293,293,Access293
TempSensor100k-c294,294,Access294
TempSensor100k-c295,295,Access295
TempSensor100k-c296,296,Access296
TempSensor100k-c297,297,Access297
TempSensor100k-c298,298,Access298
TempSensor100k-c299,299,Access299
TempSensor100k-c300,300,Access300
TempSensor100k-c301,301,Access301
TempSensor100k-c302,302,Access302
TempSensor100k-c303,303,Access303
TempSensor100k-c304,304,Access304
TempSensor100k-c305,305,Access305
TempSensor100k-c306,306,Access306
TempSensor100k-c307,307,Access307
TempSensor100k-c308,308,Access308
TempSensor100k-c309,309,Access309
TempSensor100k-c310,310,Access310
TempSensor100k-c311,311,Access311
TempSensor100k-c312,312,Access312
TempSensor100k-c313,313,Access313
TempSensor100k-c314,314,Access314
TempSensor100k-c315,315,Access315
TempSensor100k-c316,316,Access316
TempSensor100k-c317,317,Access317
TempSensor100k-c318,318,Access318
TempSensor100k-c319,319,Access319
TempSensor100k-c320,320,Access320
TempSensor100k-c321,321,Access321
TempSensor100k-c322,322,Access322
TempSensor100k-c323,323,Access323
TempSensor100k-c324,324,Access324
TempSensor100k-c325,325,Access325
TempSensor100k-c326,326,Access326
TempSensor100k-c327,327,Access327
TempSensor100k-c328,328,Access328
TempSensor100k-c329,329,Access329
TempSensor100k-c330,330,Access330
TempSensor100k-c331,331,Access331
TempSensor100k-c332,332,Access332
TempSensor100k-c333,333,Access333
TempSensor100k-c334,334,Access334
TempSensor100k-c335,335,Access335
TempSensor100k-c336,336,Access336
TempSensor100k-c337,337,Access337
TempSensor100k-c338,338,Access338
TempSensor100k-c339,339,Access339
TempSensor100k-c340,340,Access340
TempSensor100k-c341,341,Access341
TempSensor100k-c342,342,Access342
TempSensor100k-c343,343,Access343
TempSensor100k-c344,344,Access344
TempSensor100k-c345,345,Access345
TempSensor100k-c346,346,Access346
TempSensor100k-c347,347,Access347
TempSensor100k-c348,348,Access348
TempSensor100k-c349,349,Access349
TempSensor100k-c350,350,Access350
TempSensor100k-c351,351,Access351
TempSensor100k-c352,352,Access352
TempSensor100k-c353,353,Access353
TempSensor100k-c354,354,Access354
TempSensor100k-c355,355,Access355
TempSensor100k-c356,356,Access356
TempSensor100k-c357,357,Access357
TempSensor100k-c358,358,Access358
TempSensor100k-c359,359,Access359
TempSensor100k-c360,360,Access360
TempSensor100k-c361,361,Access361
TempSensor100k-c362,362,Access362
TempSensor100k-c363,363,Access363
TempSensor100k-c364,364,Access364
TempSensor100k-c365,365,Access365
TempSensor100k-c366,366,Access366
TempSensor100k-c367,367,Access367
TempSensor100k-c368,368,Access368
TempSensor100k-c369,369,Access369
TempSensor100k-c370,370,Access370
TempSensor100k-c371,371,Access371
TempSensor100k-c372,372,Access372
TempSensor100k-c373,373,Access373
TempSensor100k-c374,374,Access374
TempSensor100k-c375,375,Access375
TempSensor100k-c376,376,Access376
TempSensor100k-c377,377,Access377
TempSensor100k-c378,378,Access378
TempSensor100k-c379,379,Access379
TempSensor100k-c380,380,Access380
TempSensor100k-c381,381,Access381
TempSensor100k-c382,382,Access382
TempSensor100k-c383,383,Access383
TempSensor100k-c384,384,Access384
TempSensor100k-c385,385,Access385
TempSensor100k-c386,386,Access386
TempSensor100k-c387,387,Access387
TempSensor100k-c388,388,Access388
TempSensor100k-c389,389,Access389
TempSensor100k-c390,390,Access390
TempSensor100k-c391,391,Access391
TempSensor100k-c392,392,Access392
TempSensor100k-c393,393,Access393
TempSensor100k-c394,394,Access394
TempSensor100k-c395,395,Access395
TempSensor100k-c396,396,Access396
TempSensor100k-c397,397,Access397
TempSensor100k-c398,398,Access398
TempSensor100k-c399,399,Access399
TempSensor100k-c400,400,Access400
TempSensor100k-c401,401,Access401
TempSensor100k-c402,402,Access402
TempSensor100k-c403,403,Access403
TempSensor100k-c404,404,Access404
TempSensor100k-c405,405,Access405
TempSensor100k-c406,406,Access406
TempSensor100k-c407,407,Access407
TempSensor100k-c408,408,Access408
TempSensor100k-c409,409,Access409
TempSensor100k-c410,410,Access410
TempSensor100k-c411,411,Access411
TempSensor100k-c412,412,Access412
TempSensor100k-c413,413,Access413
TempSensor100k-c414,414,Access414
TempSensor100k-c415,415,Access415
TempSensor100k-c416,416,Access416
TempSensor100k-c417,417,Access417
TempSensor100k-c418,418,Access418
TempSensor100k-c419,419,Access419
TempSensor100k-c420,420,Access420
TempSensor100k-c421,421,Access421
TempSensor100k-c422,422,Access422
TempSensor100k-c423,423,Access423
TempSensor100k-c424,424,Access424
TempSensor100k-c425,425,Access425
TempSensor100k-c426,426,Access426
TempSensor100k-c427,427,Access427
TempSensor100k-c428,428,Access428
TempSensor100k-c429,429,Access429
TempSensor100k-c430,430,Access430
TempSensor100k-c431,431,Access431
TempSensor100k-c432,432,Access432
TempSensor100k-c433,433,Access433
TempSensor100k-c434,434,Access434
TempSensor100k-c435,435,Access435
TempSensor100k-c436,436,Access436
TempSensor100k-c437,437,Access437
TempSensor100k-c438,438,Access438
TempSensor100k-c439,439,Access439
TempSensor100k-c440,440,Access440
TempSensor100k-c441,441,Access441
TempSensor100k-c442,442,Access442
TempSensor100k-c443,443,Access443
TempSensor100k-c444,444,Access444
TempSensor100k-c445,445,Access445
TempSensor100k-c446,446,Access446
TempSensor100k-c447,447,Access447
TempSensor100k-c448,448,Access448
TempSensor100k-c449,449,Access449
TempSensor100k-c450,450,Access450
TempSensor100k-c451,451,Access451
TempSensor100k-c452,452,Access452
TempSensor100k-c453,453,Access453
TempSensor100k-c454,454,Access454
TempSensor100k-c455,455,Access455
TempSensor100k-c456,456,Access456
TempSensor100k-c457,457,Access457
TempSensor100k-c458,458,Access458
TempSensor100k-c459,459,Access459
TempSensor100k-c460,460,Access460
TempSensor100k-c461,461,Access461
TempSensor100k-c462,462,Access462
TempSensor100k-c463,463,Access463
TempSensor100k-c464,464,Access464
TempSensor100k-c465,465,Access465
TempSensor100k-c466,466,Access466
TempSensor100k-c467,467,Access467
TempSensor100k-c468,468,Access468
TempSensor100k-c469,469,Access469
TempSensor100k-c470,470,Access470
TempSensor100k-c471,471,Access471
TempSensor100k-c472,472,Access472
TempSensor100k-c473,473,Access473
TempSensor100k-c474,474,Access474
TempSensor100k-c475,475,Access475
TempSensor100k-c476,476,Access476
TempSensor100k-c477,477,Access477
TempSensor100k-c478,478,Access478
TempSensor100k-c479,479,Access479
TempSensor100k-c480,480,Access480
TempSensor100k-c481,481,Access481
TempSensor100k-c482,482,Access482
TempSensor100k-c483,483,Access483
TempSensor100k-c484,484,Access484
TempSensor100k-c485,485,Access485
TempSensor100k-c486,486,Access486
TempSensor100k-c487,487,Access487
TempSensor100k-c488,488,Access488
TempSensor100k-c489,489,Access489
TempSensor100k-c490,490,Access490
TempSensor100k-c491,491,Access491
TempSensor100k-c492,492,Access492
TempSensor100k-c493,493,Access493
TempSensor100k-c494,494,Access494
TempSensor100k-c495,495,Access495
TempSensor100k-c496,496,Access496
TempSensor100k-c497,497,Access497
TempSensor100k-c498,498,Access498
TempSensor100k-c499,499,Access499
TempSensor100k-c500,500,Access500
TempSensor100k-c501,501,Access501
TempSensor100k-c502,502,Access502
TempSensor100k-c503,503,Access503
TempSensor100k-c504,504,Access504
TempSensor100k-c505,505,Access505
TempSensor100k-c506,506,Access506
TempSensor100k-c507,507,Access507
TempSensor100k-c508,508,Access508
